mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_l2_leaf_reg,param_iterations,param_depth,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.06012868881225586,0.017252206802368164,0.007619500160217285,0.0003191232681274414,0.9,10,1,6,"{'learning_rate': 0.9, 'l2_leaf_reg': 10, 'iterations': 1, 'depth': 6}",0.5865765233673047,0.5711363697651215,0.5788564465662132,0.007720076801091602,15,0.8198622010085483,0.5882142004419798,0.7040382007252641,0.11582400028328427
0.053246259689331055,0.006894350051879883,0.007571220397949219,0.002595663070678711,0.1,1,3,6,"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 3, 'depth': 6}",0.6052394895150969,0.7270006921410529,0.6661200908280749,0.06088060131297801,5,0.8808263445064675,0.8006162943707711,0.8407213194386193,0.04010502506784819
0.04868936538696289,0.005647182464599609,0.01130819320678711,0.005886554718017578,0.9,1,2,5,"{'learning_rate': 0.9, 'l2_leaf_reg': 1, 'iterations': 2, 'depth': 5}",0.6973932704891399,0.7592167120603333,0.7283049912747366,0.030911720785596675,1,0.882162536292461,0.8002855275842446,0.8412240319383528,0.040938504354108174
0.06828176975250244,0.00038444995880126953,0.005917906761169434,0.0002478361129760742,0.9,10,1,3,"{'learning_rate': 0.9, 'l2_leaf_reg': 10, 'iterations': 1, 'depth': 3}",0.4140733413638901,0.5711363697651215,0.49260485556450584,0.07853151420061569,20,0.8164127317998364,0.5882142004419798,0.7023134661209081,0.11409926567892831
0.06487810611724854,0.0024188756942749023,0.005930662155151367,0.0004582405090332031,0.01,10,3,5,"{'learning_rate': 0.01, 'l2_leaf_reg': 10, 'iterations': 3, 'depth': 5}",0.5418660093817488,0.7521636149538422,0.6470148121677954,0.10514880278604671,8,0.8524422691439923,0.8173987817729099,0.8349205254584511,0.017521743685541213
0.049265384674072266,0.024779081344604492,0.005565524101257324,0.0008655786514282227,0.01,10,2,6,"{'learning_rate': 0.01, 'l2_leaf_reg': 10, 'iterations': 2, 'depth': 6}",0.6429549816081099,0.7084661435158969,0.6757105625620035,0.03275558095389347,4,0.8400974390781041,0.7577090652539589,0.7989032521660315,0.041194186912072606
0.05267500877380371,0.012442350387573242,0.00585782527923584,0.0010541677474975586,0.01,5,2,5,"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 2, 'depth': 5}",0.621188103525965,0.7084661435158969,0.6648271235209309,0.043639019994965944,6,0.8405059820762434,0.7773315692438052,0.8089187756600242,0.031587206416219094
0.03839373588562012,0.0006291866302490234,0.005117654800415039,0.00031757354736328125,0.9,5,1,3,"{'learning_rate': 0.9, 'l2_leaf_reg': 5, 'iterations': 1, 'depth': 3}",0.4152743344720926,0.5711363697651215,0.49320535211860705,0.07793101764651444,19,0.8255921401540688,0.5882142004419798,0.7069031702980243,0.11868896985604449
0.029010415077209473,0.0063446760177612305,0.004150509834289551,0.00018846988677978516,0.9,20,3,3,"{'learning_rate': 0.9, 'l2_leaf_reg': 20, 'iterations': 3, 'depth': 3}",0.4830563928198923,0.763534503680932,0.6232954482504122,0.14023905543051984,11,0.8760065259013564,0.8408369970504758,0.8584217614759161,0.017584764425440325
0.054749131202697754,0.003552556037902832,0.0034896135330200195,9.179115295410156e-06,0.1,5,1,6,"{'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 1, 'depth': 6}",0.5821854484156406,0.5711363697651215,0.576660909090381,0.0055245393252595365,17,0.8284474467186222,0.5882142004419798,0.708330823580301,0.12011662313832122
