mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.1266998052597046,0.023261666297912598,0.005051851272583008,1.4781951904296875e-05,3,1,15,0.1,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 15, 'learning_rate': 0.1}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.10544991493225098,0.003563404083251953,0.005399465560913086,2.9087066650390625e-05,3,1,15,0.9,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 15, 'learning_rate': 0.9}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.08281326293945312,0.031592369079589844,0.005172252655029297,0.00021696090698242188,3,1,20,0.01,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 20, 'learning_rate': 0.01}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.0721055269241333,0.020631909370422363,0.00753474235534668,0.00286102294921875,3,1,20,0.1,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 20, 'learning_rate': 0.1}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.0654287338256836,0.0071222782135009766,0.005176544189453125,0.00011587142944335938,3,1,20,0.9,"{'depth': 3, 'iterations': 1, 'l2_leaf_reg': 20, 'learning_rate': 0.9}",0.5867923969416863,0.5718455896232776,0.5793189932824819,0.007473403659204347,151,0.5718455896232776,0.5867923969416863,0.5793189932824819,0.007473403659204347
0.0565873384475708,0.020687222480773926,0.005614876747131348,0.0005239248275756836,3,2,1,0.01,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.6502749358662498,0.6732388605740276,0.6617568982201387,0.011481962353888875,41,0.7342483977384067,0.746736314692508,0.7404923562154573,0.006243958477050671
0.08179283142089844,0.036324501037597656,0.004741787910461426,0.0013943910598754883,3,2,1,0.1,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.6502749358662498,0.6732388605740276,0.6617568982201387,0.011481962353888875,41,0.7342483977384067,0.746736314692508,0.7404923562154573,0.006243958477050671
0.0675663948059082,0.02216482162475586,0.004049420356750488,0.000603795051574707,3,2,1,0.9,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 1, 'learning_rate': 0.9}",0.5805037887831912,0.6978359356039154,0.6391698621935533,0.05866607341036212,82,0.784142778811495,0.7500668714398813,0.7671048251256881,0.01703795368580685
0.02741265296936035,0.0017249584197998047,0.00331723690032959,1.8715858459472656e-05,3,2,5,0.01,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 5, 'learning_rate': 0.01}",0.6502749358662498,0.6732388605740276,0.6617568982201387,0.011481962353888875,41,0.7342483977384067,0.7410302510237164,0.7376393243810615,0.00339092664265489
0.045838117599487305,0.013321638107299805,0.004143238067626953,0.000530242919921875,3,2,5,0.1,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.6502749358662498,0.6732388605740276,0.6617568982201387,0.011481962353888875,41,0.7342483977384067,0.7410302510237164,0.7376393243810615,0.00339092664265489
0.03810441493988037,0.006974339485168457,0.0058405399322509766,0.0006017684936523438,3,2,5,0.9,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 5, 'learning_rate': 0.9}",0.5753470582849676,0.6978359356039154,0.6365914969444415,0.06124443865947393,91,0.783783225017753,0.7500668714398813,0.7669250482288171,0.016858176788935864
0.03512012958526611,0.002199530601501465,0.005111336708068848,0.00026023387908935547,3,2,10,0.01,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 10, 'learning_rate': 0.01}",0.6502749358662498,0.6732388605740276,0.6617568982201387,0.011481962353888875,41,0.7342483977384067,0.7318908550388752,0.7330696263886409,0.0011787713497657393
0.035074830055236816,0.0033708810806274414,0.004735589027404785,0.00012767314910888672,3,2,10,0.1,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 10, 'learning_rate': 0.1}",0.6502749358662498,0.6732388605740276,0.6617568982201387,0.011481962353888875,41,0.7342483977384067,0.7318908550388752,0.7330696263886409,0.0011787713497657393
0.031734585762023926,0.007109999656677246,0.004134178161621094,0.0006606578826904297,3,2,10,0.9,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 10, 'learning_rate': 0.9}",0.6531710526552001,0.6978359356039154,0.6755034941295578,0.022332441474357645,31,0.7797175704950158,0.748832667012543,0.7642751187537794,0.015442451741236374
0.04461550712585449,0.0029692649841308594,0.004364967346191406,0.0008533000946044922,3,2,15,0.01,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 15, 'learning_rate': 0.01}",0.6463299697148673,0.6732388605740276,0.6597844151444474,0.01345444542958013,48,0.7333647942902857,0.7318908550388752,0.7326278246645804,0.0007369696257052416
0.03965282440185547,0.01139068603515625,0.0036205053329467773,0.00013744831085205078,3,2,15,0.1,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 15, 'learning_rate': 0.1}",0.6463299697148673,0.6732388605740276,0.6597844151444474,0.01345444542958013,48,0.7333647942902857,0.7318908550388752,0.7326278246645804,0.0007369696257052416
0.040888071060180664,6.794929504394531e-05,0.004206299781799316,0.0006171464920043945,3,2,15,0.9,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 15, 'learning_rate': 0.9}",0.6531710526552001,0.6978359356039154,0.6755034941295578,0.022332441474357645,31,0.7797175704950158,0.748832667012543,0.7642751187537794,0.015442451741236374
0.03011035919189453,0.001981973648071289,0.005103111267089844,0.00013566017150878906,3,2,20,0.01,"{'depth': 3, 'iterations': 2, 'l2_leaf_reg': 20, 'learning_rate': 0.01}",0.6463299697148673,0.6732388605740276,0.6597844151444474,0.01345444542958013,48,0.7333647942902857,0.7318908550388752,0.7326278246645804,0.0007369696257052416
